Project Name,Package Name,Type Name,LCOM1,LCOM2,LCOM3,LCOM4,LCOM5,YALCOM,ClassName
.,com.amazonaws.services.s3.model,SetBucketEncryptionResult,6.0,0.0,4.0,4.0,0.0,1.0,com.amazonaws.services.s3.model.SetBucketEncryptionResult
.,com.amazonaws.services.s3.model,DeletePublicAccessBlockResult,6.0,0.0,4.0,4.0,0.0,1.0,com.amazonaws.services.s3.model.DeletePublicAccessBlockResult
.,com.amazonaws.services.s3.model,ProgressEvent,6.0,0.0,4.0,4.0,0.0,1.0,com.amazonaws.services.s3.model.ProgressEvent
.,com.amazonaws.services.s3.internal.crypto.v1,S3KeyWrapScheme,6.0,0.0,4.0,4.0,1.1111111111111112,1.0,com.amazonaws.services.s3.internal.crypto.v1.S3KeyWrapScheme
.,com.amazonaws.services.s3.model,LegacyS3ProgressListener,6.0,2.0,2.0,2.0,0.625,0.4,com.amazonaws.services.s3.model.LegacyS3ProgressListener
.,com.amazonaws.services.s3,S3ResponseMetadata,6.0,0.0,4.0,4.0,1.0,1.0,com.amazonaws.services.s3.S3ResponseMetadata
.,com.amazonaws.services.s3.model,DeleteBucketEncryptionResult,6.0,0.0,4.0,4.0,0.0,1.0,com.amazonaws.services.s3.model.DeleteBucketEncryptionResult
.,com.amazonaws.services.s3.internal,Builder,6.0,6.0,4.0,4.0,1.0,1.0,com.amazonaws.services.s3.internal.Builder
.,com.amazonaws.services.s3.internal,ObjectRestoreResult,6.0,0.0,4.0,4.0,0.0,-1.0,com.amazonaws.services.s3.internal.ObjectRestoreResult
.,com.amazonaws.services.s3.internal.crypto.v1,KMSSecuredCEK,6.0,0.0,4.0,2.0,0.8333333333333334,0.0,com.amazonaws.services.s3.internal.crypto.v1.KMSSecuredCEK
.,com.amazonaws.services.s3,KeyWrapException,6.0,0.0,4.0,4.0,1.3333333333333333,1.0,com.amazonaws.services.s3.KeyWrapException
.,com.amazonaws.services.s3.model,EmailAddressGrantee,6.0,0.0,2.0,2.0,0.1666666666666666,0.2857142857142857,com.amazonaws.services.s3.model.EmailAddressGrantee
.,com.amazonaws.services.s3.model,GetBucketAclRequest,6.0,2.0,2.0,2.0,0.625,0.4,com.amazonaws.services.s3.model.GetBucketAclRequest
.,com.amazonaws.services.s3.internal,PartCreationEvent,6.0,2.0,1.0,1.0,0.75,0.0,com.amazonaws.services.s3.internal.PartCreationEvent
.,com.amazonaws.services.s3.internal.eventstreaming,IntegerValue,6.0,0.0,2.0,2.0,0.1666666666666666,0.2857142857142857,com.amazonaws.services.s3.internal.eventstreaming.IntegerValue
.,com.amazonaws.services.s3.internal.eventstreaming,ByteArrayValue,6.0,0.0,2.0,2.0,0.1666666666666666,0.2857142857142857,com.amazonaws.services.s3.internal.eventstreaming.ByteArrayValue
.,com.amazonaws.services.s3.internal.crypto.v2,MultipartUploadCryptoContext,6.0,2.0,2.0,2.0,0.75,0.4,com.amazonaws.services.s3.internal.crypto.v2.MultipartUploadCryptoContext
.,com.amazonaws.services.s3.internal.crypto.keywrap,Builder,6.0,6.0,4.0,4.0,1.0,1.0,com.amazonaws.services.s3.internal.crypto.keywrap.Builder
.,com.amazonaws.services.s3.model,SetPublicAccessBlockResult,6.0,0.0,4.0,4.0,0.0,1.0,com.amazonaws.services.s3.model.SetPublicAccessBlockResult
.,com.amazonaws.services.s3.internal.crypto.keywrap,Builder,6.0,6.0,4.0,4.0,1.0,1.0,com.amazonaws.services.s3.internal.crypto.keywrap.Builder
.,com.amazonaws.services.s3.internal.crypto.keywrap,KMSKeyWrapperProvider,6.0,0.0,4.0,4.0,1.0,1.0,com.amazonaws.services.s3.internal.crypto.keywrap.KMSKeyWrapperProvider
.,com.amazonaws.services.s3.internal.crypto.keywrap,AesGcmKeyWrapperProvider,6.0,0.0,4.0,4.0,1.0,1.0,com.amazonaws.services.s3.internal.crypto.keywrap.AesGcmKeyWrapperProvider
.,com.amazonaws.services.s3.internal.eventstreaming,BooleanValue,6.0,0.0,2.0,2.0,0.1666666666666666,0.2857142857142857,com.amazonaws.services.s3.internal.eventstreaming.BooleanValue
.,com.amazonaws.services.s3.model,TopicConfiguration,6.0,0.0,4.0,4.0,0.0,1.0,com.amazonaws.services.s3.model.TopicConfiguration
.,com.amazonaws.services.s3.internal.eventstreaming,LongValue,6.0,0.0,2.0,2.0,0.1666666666666666,0.2857142857142857,com.amazonaws.services.s3.internal.eventstreaming.LongValue
.,com.amazonaws.services.s3.internal.eventstreaming,StringValue,6.0,0.0,2.0,2.0,0.1666666666666666,0.2857142857142857,com.amazonaws.services.s3.internal.eventstreaming.StringValue
.,com.amazonaws.services.s3.transfer.internal,S3ProgressPublisher,6.0,0.0,4.0,2.0,0.0,0.5,com.amazonaws.services.s3.transfer.internal.S3ProgressPublisher
.,com.amazonaws.services.s3.transfer,Download,6.0,0.0,4.0,4.0,0.0,-1.0,com.amazonaws.services.s3.transfer.Download
.,com.amazonaws.services.s3.transfer,PersistableTransfer,6.0,0.0,4.0,3.0,1.0,0.75,com.amazonaws.services.s3.transfer.PersistableTransfer
.,com.amazonaws.services.s3.event,S3Entity,6.0,2.0,1.0,1.0,0.75,0.0,com.amazonaws.services.s3.event.S3Entity
.,com.amazonaws.services.s3.transfer,Upload,6.0,0.0,4.0,4.0,0.0,-1.0,com.amazonaws.services.s3.transfer.Upload
.,com.amazonaws.services.s3.internal.crypto.v2,KMSMaterialsHandler,6.0,0.0,4.0,4.0,0.0,1.0,com.amazonaws.services.s3.internal.crypto.v2.KMSMaterialsHandler
.,com.amazonaws.services.s3.model,TopicConfiguration,5.0,0.0,2.0,2.0,0.2,0.3333333333333333,com.amazonaws.services.s3.model.TopicConfiguration
.,com.amazonaws.services.s3.model,AbortIncompleteMultipartUpload,5.0,0.0,2.0,2.0,0.2,0.3333333333333333,com.amazonaws.services.s3.model.AbortIncompleteMultipartUpload
.,com.amazonaws.services.s3.model,TagSet,5.0,0.0,2.0,1.0,0.2,0.0,com.amazonaws.services.s3.model.TagSet
.,com.amazonaws.services.s3.model,ExtraMaterialsDescription,5.0,0.0,2.0,2.0,0.75,0.4,com.amazonaws.services.s3.model.ExtraMaterialsDescription
.,com.amazonaws.services.s3.model,BucketCrossOriginConfiguration,5.0,0.0,2.0,2.0,0.2,0.3333333333333333,com.amazonaws.services.s3.model.BucketCrossOriginConfiguration
.,com.amazonaws.services.s3.model,QueueConfiguration,5.0,0.0,2.0,2.0,0.2,0.3333333333333333,com.amazonaws.services.s3.model.QueueConfiguration
.,com.amazonaws.services.s3,PresignedUrlUploadStrategy,5.0,4.0,3.0,3.0,0.6666666666666666,0.75,com.amazonaws.services.s3.PresignedUrlUploadStrategy
.,com.amazonaws.services.s3.model.ownership,OwnershipControls,5.0,0.0,2.0,1.0,0.2,0.0,com.amazonaws.services.s3.model.ownership.OwnershipControls
.,com.amazonaws.services.s3.model.transform,ListPartsHandler,4.0,2.0,2.0,1.0,0.6666666666666666,0.0,com.amazonaws.services.s3.model.transform.ListPartsHandler
.,com.amazonaws.services.s3.model.inventory,InventoryFilter,4.0,0.0,2.0,2.0,0.25,0.4,com.amazonaws.services.s3.model.inventory.InventoryFilter
.,com.amazonaws.services.s3.model.lifecycle,LifecycleFilter,4.0,0.0,2.0,2.0,0.25,0.4,com.amazonaws.services.s3.model.lifecycle.LifecycleFilter
.,com.amazonaws.services.s3.internal,S3Signer,4.0,0.0,2.0,1.0,0.5,0.0,com.amazonaws.services.s3.internal.S3Signer
.,com.amazonaws.services.s3.model.metrics,MetricsFilter,4.0,0.0,2.0,2.0,0.25,0.4,com.amazonaws.services.s3.model.metrics.MetricsFilter
.,com.amazonaws.services.s3.internal,XmlWriter,4.0,0.0,1.0,1.0,0.3125,0.0,com.amazonaws.services.s3.internal.XmlWriter
.,com.amazonaws.services.s3.model.intelligenttiering,IntelligentTieringFilter,4.0,0.0,2.0,2.0,0.25,0.4,com.amazonaws.services.s3.model.intelligenttiering.IntelligentTieringFilter
.,com.amazonaws.services.s3.model.replication,ReplicationFilter,4.0,0.0,2.0,2.0,0.25,0.4,com.amazonaws.services.s3.model.replication.ReplicationFilter
.,com.amazonaws.services.s3.internal.crypto,ByteRangeCapturingInputStream,4.0,0.0,1.0,1.0,0.5714285714285714,0.0,com.amazonaws.services.s3.internal.crypto.ByteRangeCapturingInputStream
.,com.amazonaws.services.s3,TargetObjectKeyFormat,4.0,0.0,1.0,1.0,0.5,0.0,com.amazonaws.services.s3.TargetObjectKeyFormat
.,com.amazonaws.services.s3.model.analytics,AnalyticsFilter,4.0,0.0,2.0,2.0,0.25,0.4,com.amazonaws.services.s3.model.analytics.AnalyticsFilter
.,com.amazonaws.services.s3.event,S3BucketEntity,3.0,0.0,1.0,1.0,0.6666666666666666,0.0,com.amazonaws.services.s3.event.S3BucketEntity
.,com.amazonaws.services.s3.iterable,S3ObjectIterator,3.0,0.0,2.0,2.0,0.6666666666666666,0.5,com.amazonaws.services.s3.iterable.S3ObjectIterator
.,com.amazonaws.services.s3.model,DeleteBucketTaggingConfigurationRequest,3.0,0.0,2.0,2.0,0.3333333333333333,0.5,com.amazonaws.services.s3.model.DeleteBucketTaggingConfigurationRequest
.,com.amazonaws.services.s3.internal,AbstractS3ResponseHandler,3.0,0.0,3.0,3.0,1.0,1.0,com.amazonaws.services.s3.internal.AbstractS3ResponseHandler
.,com.amazonaws.services.s3.model.transform,StatsStaxUnmarshaller,3.0,0.0,3.0,3.0,1.0,1.0,com.amazonaws.services.s3.model.transform.StatsStaxUnmarshaller
.,com.amazonaws.services.s3.model,DeleteBucketLifecycleConfigurationRequest,3.0,0.0,2.0,2.0,0.3333333333333333,0.5,com.amazonaws.services.s3.model.DeleteBucketLifecycleConfigurationRequest
.,com.amazonaws.services.s3.internal,ObjectRestoreHeaderHandler,3.0,0.0,3.0,1.0,1.0,0.0,com.amazonaws.services.s3.internal.ObjectRestoreHeaderHandler
.,com.amazonaws.services.s3.model,ProgressEvent,3.0,0.0,2.0,2.0,0.3333333333333333,0.5,com.amazonaws.services.s3.model.ProgressEvent
.,com.amazonaws.services.s3.model.transform,FilterStaxUnmarshaller,3.0,0.0,3.0,3.0,1.0,1.0,com.amazonaws.services.s3.model.transform.FilterStaxUnmarshaller
.,com.amazonaws.services.s3.internal,ObjectExpirationHeaderHandler,3.0,0.0,3.0,1.0,1.0,0.0,com.amazonaws.services.s3.internal.ObjectExpirationHeaderHandler
.,com.amazonaws.services.s3.model.transform,GetBucketPolicyStatusStaxUnmarshaller,3.0,0.0,3.0,3.0,1.0,1.0,com.amazonaws.services.s3.model.transform.GetBucketPolicyStatusStaxUnmarshaller
.,com.amazonaws.services.s3.model.transform,GetBucketEncryptionStaxUnmarshaller,3.0,0.0,3.0,3.0,1.0,1.0,com.amazonaws.services.s3.model.transform.GetBucketEncryptionStaxUnmarshaller
.,com.amazonaws.services.s3,S3ArnUtils,3.0,0.0,3.0,3.0,1.0,1.0,com.amazonaws.services.s3.S3ArnUtils
.,com.amazonaws.services.s3.model.transform,GetPublicAccessBlockStaxUnmarshaller,3.0,0.0,3.0,3.0,1.0,1.0,com.amazonaws.services.s3.model.transform.GetPublicAccessBlockStaxUnmarshaller
.,com.amazonaws.services.s3.model.transform,ServerSideEncryptionRuleStaxUnmarshaller,3.0,0.0,3.0,3.0,1.0,1.0,com.amazonaws.services.s3.model.transform.ServerSideEncryptionRuleStaxUnmarshaller
.,com.amazonaws.services.s3.model.transform,NotificationConfigurationStaxUnmarshaller,3.0,0.0,3.0,1.0,0.0,0.0,com.amazonaws.services.s3.model.transform.NotificationConfigurationStaxUnmarshaller
.,com.amazonaws.services.s3.model,RecordsEvent,3.0,0.0,2.0,2.0,0.3333333333333333,0.5,com.amazonaws.services.s3.model.RecordsEvent
.,com.amazonaws.services.s3.model.transform,BucketNotificationConfigurationStaxUnmarshaller,3.0,0.0,3.0,3.0,1.0,1.0,com.amazonaws.services.s3.model.transform.BucketNotificationConfigurationStaxUnmarshaller
.,com.amazonaws.services.s3.model,DeleteBucketReplicationConfigurationRequest,3.0,0.0,2.0,2.0,0.3333333333333333,0.5,com.amazonaws.services.s3.model.DeleteBucketReplicationConfigurationRequest
